Port,X(um),Y(um)
opt_in,-112.0,0.0
opt_out1,2242.0,-1463.65
elec_pad1,1342.0109695261556,1584.0294432179264
elec_pad_1,631.775,1582.55
mrr1_drop,730.0,-1063.65
mrr1_add,744.0,-1063.65
opt_out2,2242.0,-1063.65
elec_pad2,1542.0109695261556,1584.0294432179264
elec_pad_2,431.775,1582.55
mrr2_drop,855.0,-851.65
mrr2_add,879.0,-851.65
opt_out3,2242.0,-663.6500000000001
elec_pad3,1742.0109695261556,1584.0294432179264
elec_pad_3,231.77499999999998,1582.55
mrr3_drop,980.0,-793.65
mrr3_add,1014.0,-793.65
opt_out4,2242.0,-263.6500000000001
elec_pad4,1942.0109695261556,1584.0294432179264
elec_pad_4,31.774999999999977,1582.55
mrr4_drop,1105.0,-381.65
mrr4_add,1149.0,-381.65
opt_out5,2242.0,136.3499999999999
elec_pad5,1331.775,-1569.45
elec_pad_5,631.775,-1569.45
mrr5_drop,730.0,1088.35
mrr5_add,744.0,1088.35
opt_out6,2242.0,536.3499999999999
elec_pad6,1531.775,-1569.45
elec_pad_6,431.775,-1569.45
mrr6_drop,855.0,696.35
mrr6_add,879.0,696.35
opt_out7,2242.0,936.3499999999999
elec_pad7,1731.775,-1569.45
elec_pad_7,231.77499999999998,-1569.45
mrr7_drop,980.0,658.35
mrr7_add,1014.0,658.35
opt_out8,2242.0,1336.35
elec_pad8,1931.775,-1569.45
elec_pad_8,31.774999999999977,-1569.45
mrr8_drop,1105.0,466.35
mrr8_add,1149.0,466.35
