Port,X(um),Y(um)
opt_in,-112.0,0.0
opt_out1,2242.0,-1464.35
elec_pad1,1342.0109695261556,1583.3294432179264
elec_pad_1,631.775,1581.85
opt_out2,2242.0,-1064.35
elec_pad2,1542.0109695261556,1583.3294432179264
elec_pad_2,431.775,1581.85
opt_out3,2242.0,-664.3499999999999
elec_pad3,1742.0109695261556,1583.3294432179264
elec_pad_3,231.77499999999998,1581.85
opt_out4,2242.0,-264.3499999999999
elec_pad4,1942.0109695261556,1583.3294432179264
elec_pad_4,31.774999999999977,1581.85
opt_out5,2242.0,135.6500000000001
elec_pad5,1331.775,-1570.15
elec_pad_5,631.775,-1570.15
opt_out6,2242.0,535.6500000000001
elec_pad6,1531.775,-1570.15
elec_pad_6,431.775,-1570.15
opt_out7,2242.0,935.6500000000001
elec_pad7,1731.775,-1570.15
elec_pad_7,231.77499999999998,-1570.15
opt_out8,2242.0,1335.65
elec_pad8,1931.775,-1570.15
elec_pad_8,31.774999999999977,-1570.15
